Level,Speed,Power,Crit
2,0.1,,
3,,,0.01
4,0.1,,
5,,1,
6,0.1,,
7,,,0.01
8,0.1,,
9,,,0.01
10,0.1,,
11,,,0.01
12,0.1,,
13,,,0.01
14,0.1,,
15,,1,
16,0.1,,
17,,,0.01
18,0.1,,
19,,,0.01
20,0.1,,
21,,,0.01
22,0.1,,
23,,,0.01
24,0.1,,
25,,1,
26,0.1,,
27,,,0.01
28,0.1,,
29,,,0.01
30,0.1,,
31,,,0.01
32,0.1,,
33,,,0.01
34,0.1,,
35,,1,
36,0.1,,
37,,,0.01
38,0.1,,
39,,,0.01
40,0.1,,
41,,,0.01
42,0.1,,
43,,,0.01
44,0.1,,
45,,1,
46,0.1,,
47,,,0.01
48,0.1,,
49,,,0.01
50,0.1,,
51,,,0.01
52,0.1,,
53,,,0.01
54,0.1,,
55,,1,
56,0.1,,
57,,,0.01
58,0.1,,
59,,,0.01
60,0.1,,
61,,,0.01
62,0.1,,
63,,,0.01
64,0.1,,
65,,1,0.01
66,0.1,,
67,,,0.01
68,0.1,,
69,,,0.01
70,0.1,,
71,,,0.01
72,0.1,,
73,,,0.01
74,0.1,,
75,,1,
76,0.1,,
77,,,0.01
78,0.1,,
79,,,0.01
80,0.1,,
81,,,0.01
82,0.1,,
83,,,0.01
84,0.1,,
85,,1,
86,0.1,,
87,,,0.01
88,0.1,,
89,,,0.01
90,0.1,,
91,,,0.01
92,0.1,,
93,,,0.01
94,0.1,,
95,,1,
96,0.1,,
97,,,0.01
98,0.1,,
99,,,0.01
100,0.1,,
101,,1,
102,,1,
103,,1,
104,,1,
105,,1,
106,,1,
107,,1,
108,,1,
109,,1,
110,,1,
